Oct,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,06:17 ↑ (94°),18:43 ↑ (265°),12:25:52,+2:08,04:52,20:08,05:22,19:38,05:52,19:08,12:30 (58.8°),149.784
2,06:16 ↑ (95°),18:44 ↑ (265°),12:28:01,+2:08,04:51,20:09,05:21,19:39,05:50,19:09,12:29 (59.2°),149.74
3,06:14 ↑ (95°),18:44 ↑ (264°),12:30:09,+2:08,04:49,20:10,05:19,19:39,05:49,19:10,12:29 (59.6°),149.696
4,06:13 ↑ (96°),18:45 ↑ (264°),12:32:18,+2:08,04:48,20:11,05:18,19:40,05:48,19:10,12:29 (60.0°),149.653
5,06:11 ↑ (96°),18:46 ↑ (263°),12:34:26,+2:08,04:46,20:12,05:16,19:41,05:46,19:11,12:28 (60.3°),149.609
6,06:10 ↑ (97°),18:47 ↑ (263°),12:36:35,+2:08,04:44,20:12,05:15,19:42,05:45,19:12,12:28 (60.7°),149.565
7,06:09 ↑ (97°),18:47 ↑ (263°),12:38:43,+2:08,04:43,20:13,05:13,19:43,05:43,19:13,12:28 (61.1°),149.521
8,06:07 ↑ (98°),18:48 ↑ (262°),12:40:51,+2:08,04:41,20:14,05:12,19:44,05:42,19:14,12:27 (61.5°),149.478
9,06:06 ↑ (98°),18:49 ↑ (262°),12:42:59,+2:07,04:40,20:15,05:11,19:45,05:41,19:14,12:27 (61.9°),149.435
10,06:05 ↑ (99°),18:50 ↑ (261°),12:45:06,+2:07,04:38,20:16,05:09,19:45,05:39,19:15,12:27 (62.2°),149.392
11,06:03 ↑ (99°),18:51 ↑ (261°),12:47:14,+2:07,04:37,20:17,05:08,19:46,05:38,19:16,12:27 (62.6°),149.349
12,06:02 ↑ (100°),18:51 ↑ (260°),12:49:21,+2:07,04:35,20:18,05:06,19:47,05:36,19:17,12:26 (63.0°),149.307
13,06:01 ↑ (100°),18:52 ↑ (260°),12:51:28,+2:06,04:34,20:19,05:05,19:48,05:35,19:18,12:26 (63.4°),149.265
14,05:59 ↑ (100°),18:53 ↑ (259°),12:53:35,+2:06,04:32,20:20,05:03,19:49,05:34,19:19,12:26 (63.7°),149.223
15,05:58 ↑ (101°),18:54 ↑ (259°),12:55:41,+2:06,04:31,20:22,05:02,19:50,05:32,19:20,12:26 (64.1°),149.181
16,05:57 ↑ (101°),18:55 ↑ (258°),12:57:47,+2:06,04:29,20:23,05:01,19:51,05:31,19:20,12:25 (64.5°),149.14
17,05:56 ↑ (102°),18:55 ↑ (258°),12:59:53,+2:05,04:28,20:24,04:59,19:52,05:30,19:21,12:25 (64.9°),149.098
18,05:54 ↑ (102°),18:56 ↑ (258°),13:01:58,+2:05,04:26,20:25,04:58,19:53,05:29,19:22,12:25 (65.2°),149.057
19,05:53 ↑ (103°),18:57 ↑ (257°),13:04:03,+2:04,04:25,20:26,04:57,19:54,05:27,19:23,12:25 (65.6°),149.016
20,05:52 ↑ (103°),18:58 ↑ (257°),13:06:08,+2:04,04:23,20:27,04:55,19:55,05:26,19:24,12:25 (65.9°),148.975
21,05:51 ↑ (104°),18:59 ↑ (256°),13:08:12,+2:03,04:22,20:28,04:54,19:56,05:25,19:25,12:25 (66.3°),148.934
22,05:50 ↑ (104°),19:00 ↑ (256°),13:10:15,+2:03,04:20,20:29,04:53,19:57,05:23,19:26,12:24 (66.6°),148.894
23,05:48 ↑ (104°),19:01 ↑ (255°),13:12:18,+2:02,04:19,20:30,04:51,19:58,05:22,19:27,12:24 (67.0°),148.853
24,05:47 ↑ (105°),19:02 ↑ (255°),13:14:21,+2:02,04:17,20:32,04:50,19:59,05:21,19:28,12:24 (67.3°),148.812
25,05:46 ↑ (105°),19:02 ↑ (254°),13:16:22,+2:01,04:16,20:33,04:49,20:00,05:20,19:29,12:24 (67.7°),148.771
26,05:45 ↑ (106°),19:03 ↑ (254°),13:18:23,+2:01,04:15,20:34,04:47,20:01,05:19,19:30,12:24 (68.0°),148.731
27,05:44 ↑ (106°),19:04 ↑ (254°),13:20:24,+2:00,04:13,20:35,04:46,20:02,05:18,19:31,12:24 (68.4°),148.69
28,05:43 ↑ (107°),19:05 ↑ (253°),13:22:23,+1:59,04:12,20:36,04:45,20:03,05:16,19:32,12:24 (68.7°),148.649
29,05:42 ↑ (107°),19:06 ↑ (253°),13:24:22,+1:58,04:10,20:38,04:44,20:04,05:15,19:33,12:24 (69.0°),148.609
30,05:41 ↑ (107°),19:07 ↑ (252°),13:26:20,+1:58,04:09,20:39,04:42,20:06,05:14,19:34,12:24 (69.4°),148.568
31,05:40 ↑ (108°),19:08 ↑ (252°),13:28:17,+1:57,04:08,20:40,04:41,20:07,05:13,19:35,12:24 (69.7°),148.528
